on x=-1..48,y=-18..35,z=-45..4
on x=-18..33,y=-45..9,z=-47..-1
on x=-19..32,y=-9..43,z=-6..44
on x=-27..22,y=-22..29,z=-11..43
on x=-41..3,y=2..49,z=-21..26
on x=-12..35,y=-39..12,z=-11..34
on x=-49..3,y=-49..-5,z=-35..19
on x=-49..3,y=-37..14,z=-35..15
on x=-11..41,y=-8..38,z=-16..28
on x=-39..9,y=-7..46,z=-36..11
off x=22..35,y=-6..10,z=-4..6
on x=0..45,y=-33..20,z=-20..33
off x=-28..-12,y=18..32,z=10..23
on x=-10..43,y=-22..23,z=-29..21
off x=-2..15,y=-19..-7,z=32..44
on x=-10..36,y=-22..27,z=-28..26
off x=-43..-24,y=-4..15,z=-3..7
on x=-5..49,y=-10..36,z=-7..46
off x=-10..0,y=25..36,z=32..42
on x=-35..10,y=3..47,z=-42..2
on x=10292..26688,y=59532..71266,z=-61766..-43846
on x=-53182..-39353,y=-65776..-43374,z=-40984..-16111
on x=-58009..-33532,y=54907..83704,z=-19177..548
on x=30209..49381,y=5448..9353,z=-78210..-68638
on x=51178..66318,y=-34558..-12845,z=-59023..-37776
on x=20479..27372,y=35992..51149,z=43388..66987
on x=9799..14318,y=-88771..-76838,z=-19272..-5864
on x=50706..68680,y=-54387..-34070,z=-3382..19323
on x=335..28845,y=-6395..-2340,z=75205..89948
on x=-29430..-13853,y=-45838..-31566,z=43363..71374
on x=-8524..10461,y=53497..83098,z=26986..57106
on x=-62497..-50524,y=-1582..23857,z=-60748..-41025
on x=74143..90251,y=-15780..-10376,z=-8777..15673
on x=-13213..2379,y=43234..71768,z=-64343..-34201
on x=-30723..-20015,y=57148..79890,z=35293..44175
on x=64353..86936,y=-28800..-8479,z=-54151..-23176
on x=-11413..2815,y=-47196..-25539,z=-90134..-61660
on x=48979..77426,y=28092..51755,z=3637..39445
on x=-69888..-61455,y=20275..44095,z=-16249..13206
on x=-58472..-33079,y=21591..55664,z=-47245..-34518
on x=-44223..-10150,y=28211..45901,z=-68011..-56023
on x=44570..65290,y=-25796..6542,z=43364..71346
on x=27585..38556,y=32419..45013,z=57905..66635
on x=40846..62786,y=-40412..-22729,z=-75758..-39230
on x=11933..38307,y=-51813..-39599,z=-71883..-55399
on x=-76594..-52635,y=3272..29125,z=18608..37580
on x=-71899..-44604,y=-26855..-769,z=-67223..-48961
on x=-82509..-58865,y=-65877..-39005,z=-18683..1407
on x=46779..58672,y=50896..59778,z=-21199..-17035
on x=9242..26713,y=-65765..-60594,z=-46424..-34172
on x=-42524..-28659,y=-73080..-67742,z=-20495..8365
on x=-77762..-50266,y=32883..70133,z=6195..20808
on x=-80376..-60768,y=16047..28475,z=-3463..31528
on x=-67071..-55234,y=-55054..-42227,z=-25267..-12001
on x=-52747..-25140,y=53033..68811,z=-30800..-13204
on x=-74056..-50742,y=33253..61846,z=-11051..22554
on x=884..32461,y=19315..49666,z=57587..77654
on x=-29481..5152,y=56852..82746,z=-29984..-20369
on x=-82064..-64666,y=-46973..-21731,z=-18401..914
on x=-34934..-22279,y=-7742..12099,z=67135..87372
on x=27465..61467,y=-85472..-65129,z=-4237..22254
on x=-80381..-62026,y=-16184..12347,z=-2651..17457
on x=69178..79493,y=16016..31837,z=-30066..-6941
on x=58377..77863,y=-39777..-24772,z=10071..23002
on x=48442..63706,y=-38552..-16295,z=26113..45339
on x=-13335..-4868,y=-22175..3111,z=70940..84632
on x=-36181..-20184,y=-86761..-55273,z=11813..24214
on x=-26526..6392,y=-86737..-67545,z=15208..26858
on x=-41697..-11341,y=-67684..-50768,z=-50023..-34874
on x=-44283..-29341,y=50069..65137,z=16291..32937
on x=-13737..13518,y=34160..56368,z=-64104..-55124
on x=-41467..-20172,y=-56108..-30856,z=48850..71379
on x=-73727..-60444,y=-37460..-28199,z=-9066..3356
on x=27344..52074,y=37384..62673,z=-36910..-26850
on x=-80527..-63118,y=-7819..14033,z=34192..36345
on x=61051..78708,y=39294..50128,z=-20827..1285
on x=26726..60698,y=-31747..-14301,z=-68875..-55244
on x=58293..74218,y=-7217..-58,z=27209..42785
on x=16798..50670,y=-68005..-44913,z=-49444..-28285
on x=16748..34592,y=-61174..-55605,z=-66029..-45698
on x=-9375..15162,y=43634..71201,z=-61026..-57673
on x=-21922..-8471,y=-35213..-5237,z=-89805..-58705
on x=40507..50361,y=-75821..-48923,z=-25397..7369
on x=3497..13168,y=53981..83329,z=-49767..-26576
on x=-47985..-18318,y=-52177..-38638,z=-62333..-42841
on x=-71589..-44545,y=-56337..-38196,z=-32354..3050
on x=-21744..-11127,y=65023..92837,z=-27885..-5719
on x=-60827..-27158,y=-77388..-56241,z=8423..42905
on x=-3415..22438,y=-38105..-15993,z=-95955..-76115
on x=-45323..-34463,y=44561..50643,z=-63999..-42223
on x=5158..23904,y=-69138..-34597,z=-59221..-40866
on x=36923..53585,y=44288..61327,z=39198..56116
on x=-64918..-38968,y=57460..62088,z=8947..30454
on x=-19472..4315,y=-9881..25534,z=67512..88477
on x=-19322..-4647,y=51754..78044,z=42004..66218
on x=-56084..-41038,y=39692..59940,z=-45770..-34070
on x=-64655..-53379,y=-19603..-7182,z=48172..63856
on x=-84742..-51480,y=-40279..-27497,z=-36583..-22700
on x=12650..26785,y=-83255..-59200,z=-41616..-31127
on x=45345..77224,y=-55551..-34660,z=-30544..-12049
on x=-74026..-44388,y=35577..55130,z=-45713..-9853
on x=45201..64504,y=-41118..-15260,z=35803..68395
on x=-28668..-5925,y=36026..54071,z=-72582..-59110
on x=-60295..-35526,y=-68018..-61750,z=-7533..26299
on x=-15839..5573,y=56539..66237,z=-61049..-39765
on x=-19103..1455,y=17388..40404,z=67480..79225
on x=68183..75406,y=-8345..21591,z=20697..38662
on x=-12606..12296,y=-62262..-40916,z=-56920..-47779
on x=-30210..-19684,y=-58656..-29986,z=-62999..-50022
on x=-41781..-18933,y=70096..80964,z=930..28257
on x=58515..81081,y=-19157..-7764,z=-749..22814
on x=-36468..-7523,y=-4485..16276,z=-82639..-55736
on x=-17821..5703,y=-43734..-20259,z=60530..86122
on x=-67070..-58437,y=-15623..-2156,z=-55733..-28589
on x=57608..75127,y=29614..46316,z=-25665..-10046
on x=-74636..-52649,y=12192..41942,z=-35745..-17436
on x=-48575..-33267,y=-51680..-46450,z=33948..66864
on x=46470..74556,y=-55803..-43731,z=-12813..-4520
on x=62541..77459,y=-24439..-11764,z=-55106..-35094
on x=-57792..-45622,y=-53447..-36460,z=-53150..-35681
on x=44672..65150,y=39838..58343,z=423..27649
on x=66565..79736,y=-3676..21015,z=14005..38723
on x=61922..91970,y=8327..10789,z=-20323..2488
on x=-27586..-10336,y=-61389..-44749,z=-64363..-47539
on x=-76339..-43595,y=-30824..-14219,z=-71195..-38102
on x=-2914..28327,y=52279..79154,z=25622..50431
on x=14592..20229,y=-87387..-61943,z=16315..49757
on x=-82215..-59175,y=-797..21247,z=6622..27407
on x=11251..41584,y=-252..20658,z=71136..87064
on x=9886..32822,y=29548..61741,z=59730..76336
on x=-7855..14348,y=67583..80902,z=5744..18485
on x=26112..39316,y=51704..80793,z=11029..30029
on x=795..28775,y=-34240..-27197,z=-78054..-54474
on x=56223..75620,y=11250..25211,z=39671..43024
on x=-87370..-59866,y=10030..29821,z=12702..36824
on x=56779..87392,y=-1347..28978,z=-49750..-11313
on x=-54293..-38099,y=-40529..-25148,z=47024..70703
on x=851..23744,y=-77739..-71188,z=-38949..-11214
on x=25485..45943,y=31702..39631,z=41474..72200
on x=-62674..-31219,y=63432..82919,z=2388..17976
on x=8190..34813,y=-50078..-21869,z=-85521..-51791
on x=-37169..-28619,y=-82834..-54782,z=6972..33255
on x=-94037..-61263,y=-25046..-13909,z=-1595..13575
